PlayerID,Player,Team,Positions,Games,GS,W,L,SV,IP,Outs,SO,BB,ERA,WHIP
664299,Cristian Javier,Houston Astros,P,16,11,2,6,0,61.0,183,57,26,5.31,1.46
807739,Kade Anderson,Seattle Mariners,P,5,5,1,2,0,25.1,76,21,8,5.33,1.42
656234,Jake Bird,Washington Nationals,P,44,0,1,1,0,38.2,116,41,13,5.35,1.42
665152,Dean Kremer,Minnesota Twins,P,15,15,3,5,0,77.1,232,74,26,5.35,1.24
676755,Isaac Mattson,Pittsburgh Pirates,P,38,0,0,0,0,38.2,116,36,18,5.35,1.6
806188,Cade Gibson,Miami Marlins,P,44,1,5,2,0,48.2,146,41,21,5.36,1.4
669461,Matthew Liberatore,St. Louis Cardinals,P,30,30,5,14,0,149.1,448,148,55,5.36,1.49
680767,Victor Vodnik,Miami Marlins,P,49,0,3,3,4,53.2,161,39,31,5.37,1.64
675989,Cody Bolton,Houston Astros,P,8,3,0,1,1,20.0,60,22,14,5.4,1.75
680728,Adrian Del Castillo,Arizona Diamondbacks,"1B, C, DH, P",1,0,0,0,0,1.2,5,0,0,5.4,2.4
689690,Alek Jacob,San Diego Padres,P,3,0,1,0,0,5.0,15,6,2,5.4,1.4
675848,Juan Mejia,Colorado Rockies,P,61,1,3,6,4,65.0,195,62,40,5.4,1.72
664238,Dylan Moore,Philadelphia Phillies,"1B, 2B, CF, DH, LF, P",2,0,0,0,0,1.2,5,0,1,5.4,1.2
695684,Elmer Rodríguez,New York Yankees,P,6,6,0,3,0,26.2,80,21,16,5.4,1.58
702281,Robby Snelling,Miami Marlins,P,1,1,0,1,0,5.0,15,2,4,5.4,1.8
656986,Bennett Sousa,Houston Astros,P,31,1,1,3,0,26.2,80,27,16,5.4,1.73
676702,Hunter Stratton,Pittsburgh Pirates,P,3,0,0,0,0,3.1,10,3,0,5.4,1.8
669145,Bruce Zimmermann,St. Louis Cardinals,P,1,0,0,0,0,5.0,15,2,1,5.4,1.4
695611,Gage Jump,Athletics,P,20,20,6,11,0,98.2,296,108,46,5.47,1.52
675540,Xzavion Curry,New York Mets,P,9,1,0,1,0,21.1,64,15,9,5.48,1.45
